owner,check_1,check_2,filename,title,author_surname,author_givenname,year,birth_year,genre,form,country,wordcount,language,pov,gender,horror,detective,adaptation,downloads,source_url,age,dScience
goo5,jz669,,minnie_sacrifice.txt,Minnie's Sacrifice,Harper,Frances,1869,1825,Literary Fiction,novel,us,30105,en,third,female,0,0,0,79,http://www.gutenberg.org/ebooks/11053,44,0
awi3,,,boats_of_the_glen_carrig.txt,"The Boats of the ""Glen Carrig""",Hodgson,William Hope,1907,1877,"Horror Fiction, Science Fiction",novel,gb,60065,en,first,male,1,0,0,194,http://www.gutenberg.org/ebooks/10542,30,1
rrs232,yw458,xw235,house_on_borderland.txt,The House on the Borderland,Hodgson,William Hope,1908,1877,"Horror Fiction, Science Fiction, and Fantasy Fiction",novel,us,51013,en,first,male,1,0,0,731,http://www.gutenberg.org/ebooks/10002,31,1
xw235,pem94,qh75,the_night_land.txt,The Night Land,Hodgson,William Hope,1912,1877,"Horror Fiction, Science Fiction",novel,uk,197003,en,first,male,1,0,0,656,http://www.gutenberg.org/ebooks/10662,35,1
byw4,krh57,cjw322,the_ghost_pirates.txt,The Ghost Pirates,Hodgson,William Hope,1909,1877,"Horror Fiction, Science Fiction, and Fantasy Fiction",novel,gb,48978,en,first,male,1,0,0,145,http://www.gutenberg.org/ebooks/10966,32,1
djr288,jmy53,jz669,holley_around_the_world.txt,Around the World with Josiah Allen's Wife,Holley,Marietta,1905,1836,"humor, political fiction",novel,us,161004,en,first,female,0,0,0,24,http://www.gutenberg.org/ebooks/30190,69,0
ds895,beg57,,white_rose_of_langley.txt,The White Rose of Langley,Holt,Emily Sarah,1875,1836,Literary Fiction,novel,gb,91651,en,third,female,0,0,0,20,http://www.gutenberg.org/ebooks/23276,39,0
me363,sa2233,smh367,Life_Blood.txt,Life Blood,Hoover,Thomas,2000,1941,"Horror, Thriller, Suspense, Medical Thriller",novel,us,105579,en,first,male,1,0,0,72,http://www.gutenberg.org/ebooks/34318,59,0
vi35,kjk248,djr288,Turn_Of_The_Screw_James.txt,The Turn of the Screw,James,Henry,1898,1843,horror,novella,gb,42211,en,first,male,1,0,0,18064,https://www.gutenberg.org/ebooks/209,55,0
jmy53,,,a_thin_ghost_and_others.txt,A Thin Ghost and Others,James,Montague,1919,1862,horror,short stories,gb,30937,en,first,male,1,0,0,207,http://www.gutenberg.org/ebooks/20387,57,0
